radio,mcc,net,area,cell,unit,lon,lat,range_,samples,changeable,created,updated,averagesig,county,subcounty,ward
GSM,639,2,4000,12851,0,36.948166,-1.408081,3471,12,1,1355166938,1478752659,0,Machakos,Athi River Sub County,Syokimau-mulolongo Ward
GSM,639,2,2061,18142,0,37.220444,-1.795029,4913,20,1,1355168906,1364798499,0,MAKUENI,Kilome Sub County,Kiima Kiu/Kalanzoni Ward
GSM,639,2,107,18206,0,37.627945,-2.167053,4139,6,1,1355195294,1362614677,0,KAJIADO,Kajiado East Sub County,Kenyawa-poka Ward
GSM,639,2,2019,8592,0,37.946986,-2.411768,2306,23,1,1355200174,1486632459,0,MAKUENI,Kibwezi East  Sub County,Thange Ward
GSM,639,2,2019,8595,0,37.963486,-2.425003,1000,3,1,1355200478,1483774328,0,MAKUENI,Kibwezi East  Sub County,Thange Ward
GSM,639,2,2019,11842,0,37.983398,-2.462082,2357,6,1,1355200790,1483774328,0,MAKUENI,Kibwezi East  Sub County,Thange Ward
GSM,639,2,2016,8662,0,38.376169,-2.906093,8438,23,1,1355208529,1487733935,0,MAKUENI,Kibwezi East  Sub County,Mtito Andei Ward
GSM,639,2,2016,8356,0,38.532967,-3.40686,3429,20,1,1355213950,1485782652,0,TAITA TAVETA,Voi Sub County,Mbololo Ward
GSM,639,2,2016,8762,0,39.488307,-3.945183,117406,66,1,1355215272,1464735873,0,Kwale,Kinango Sub County,Mwavumbo Ward
GSM,639,2,2015,8792,0,38.87580871582,-3.6316680908203,1000,1,1,1355218048,1355198233,0,TAITA TAVETA,Voi Sub County,Sagala Ward
GSM,639,2,2015,8654,0,39.062576293945,-3.7415313720703,1000,1,1,1355222396,1355202564,0,Kwale,Kinango Sub County,Mackinon Road Ward
GSM,639,2,2015,8802,0,39.116134643555,-3.7470245361328,1000,1,1,1355222741,1355202928,0,Kwale,Kinango Sub County,Mackinon Road Ward
GSM,639,2,2015,8812,0,39.195785522461,-3.7689971923828,1000,1,1,1355223662,1355203849,0,Kwale,Kinango Sub County,Chengoni/samburu Ward
GSM,639,2,2015,10155,0,39.438858032227,-3.8362884521484,1000,1,1,1355225641,1355205794,0,Kilifi,Kaloleni Sub County,Mariakani Ward
GSM,639,2,2015,8435,0,39.50065612793,-3.8912200927734,1000,1,1,1355226449,1355206637,0,Kilifi,Kaloleni Sub County,Mariakani Ward
GSM,639,2,2015,9386,0,39.549595,-3.967375,1613,11,1,1355227488,1464735873,0,Kilifi,Rabai Sub County,Rabai/kisurutini Ward
GSM,639,2,2026,11066,0,39.626998901367,-4.0271759033203,1000,6,1,1355228929,1470733259,0,Mombasa,Changamwe Sub County,Chaani Ward
GSM,639,2,2012,9075,0,39.632394,-4.041595,2251,14,1,1355393842,1488528669,0,Mombasa,Changamwe Sub County,Kipevu Ward
GSM,639,2,2009,11224,0,39.648972,-4.050751,1000,6,1,1355397395,1485298061,0,Mombasa,Mvita  Sub County,Ganjoni Ward-shimanzi Ward
GSM,639,2,2026,11061,0,39.629323,-4.02781,1000,13,1,1355399220,1489480404,0,Mombasa,Changamwe Sub County,Changamwe Ward
GSM,639,2,2012,9326,0,39.623795,-4.030151,1000,6,1,1355477104,1470733252,0,Mombasa,Changamwe Sub County,Chaani Ward
GSM,639,2,2015,9232,0,39.618301,-4.009323,1000,3,1,1355490959,1360060621,0,Mombasa,Changamwe Sub County,Changamwe Ward
